id,title,reason,category
8720648154553,"Bambus-Spannbetttuch, Soft Taupe, 400TC",availability out_of_stock,out_of_stock
8720618860675,"Bambus-Spannbetttuch, Soft Taupe, 400TC",availability out_of_stock,out_of_stock
8720648154539,"Bambus-Spannbetttuch, Soft Taupe, 400TC",availability out_of_stock,out_of_stock
8720648154546,"Bambus-Spannbetttuch, Soft Taupe, 400TC",availability out_of_stock,out_of_stock
8720618860668,"Bambus-Spannbetttuch, Soft Taupe, 400TC",availability out_of_stock,out_of_stock
8720618860378,"Bambus-Spannbetttuch, salbeigrün, 400TC",availability out_of_stock,out_of_stock
8720618860361,"Bambus-Spannbetttuch, salbeigrün, 400TC",availability out_of_stock,out_of_stock
8720618860385,"Bambus-Spannbetttuch, salbeigrün, 400TC",availability out_of_stock,out_of_stock
8022025,"Bambus-Spannbetttuch, Himmelblau, 400TC",availability out_of_stock,out_of_stock
8720648154843,"Bambus-Spannbetttuch, Space Blue, 400TC",availability out_of_stock,out_of_stock
8720618860033,"Bettbezug aus Bambus, „Cuddle Pink“, 400TC",availability out_of_stock,out_of_stock
1111119014050,"Bambus-Bettwäscheset für 1 Person, Soft Taupe, 400TC",availability out_of_stock,out_of_stock
4444414020060,"Bambus-Bettwäscheset für 2 Personen, „Cuddle Pink“, 400TC",availability out_of_stock,out_of_stock
4444416020060,"Bambus-Bettwäscheset für 2 Personen, „Cuddle Pink“, 400TC",availability out_of_stock,out_of_stock
3333318024060,"Bambus-Bettwäscheset für 2 Personen, salbeigrün, 400TC",availability out_of_stock,out_of_stock
1111118024060,"Bambus-Bettwäscheset für 2 Personen, Soft Taupe, 400TC",availability out_of_stock,out_of_stock
1111116020060,"Bambus-Bettwäscheset für 2 Personen, Soft Taupe, 400TC",availability out_of_stock,out_of_stock
1111114020060,"Bambus-Bettwäscheset für 2 Personen, Soft Taupe, 400TC",availability out_of_stock,out_of_stock
5555518024060,"Bambus-Bettwäscheset für 2 Personen, „Coco White“, 400TC",availability out_of_stock,out_of_stock
398753,"Muschelbett aus Samt, Lila, 180×200",availability out_of_stock,out_of_stock
398708,"Muschelbett aus Samt, Grau, 140×200",availability out_of_stock,out_of_stock
396995,"Polsterbett aus rosa Samt, 90×200",availability out_of_stock,out_of_stock
